id,Nombre,Plataforma,Marca,Puntuacion_usuario
2699,Big Bumpin',Xbox360,Xbox,58.0
2700,Surf's Up,Wii,Nintendo,58.0
2701,Starlink: Battle for Atlas,PlayStation4,PlayStation,58.0
2702,Just Cause 4,XboxOne,Xbox,58.0
2703,Puzzle Quest 2,DS,Nintendo,58.0
2704,Prince of Persia: The Fallen King,DS,Nintendo,58.0
2705,Lost Planet 3,Xbox360,Xbox,58.0
2706,Just Dance 2016,PlayStation4,PlayStation,58.0
2707,NBA 09 The Inside,PlayStation3,PlayStation,58.0
2708,Ace Combat Infinity,PlayStation3,PlayStation,58.0
2709,Woolfe - The Red Hood Diaries,PC,PC_Gamer,58.0
2710,Mercenary Kings,PlayStation4,PlayStation,58.0
2711,SpellForce 2: Faith in Destiny,PC,PC_Gamer,58.0
2712,WRC: FIA World Rally Championship,Xbox360,Xbox,58.0
2713,Skellboy,Switch,Nintendo,58.0
2714,NASCAR Heat 4,XboxOne,Xbox,58.0
2715,Blacksad: Under the Skin,PlayStation4,PlayStation,58.0
2716,Tank Troopers,3DS,Nintendo,58.0
2717,Blood Drive,Xbox360,Xbox,58.0
2718,The VideoKid,Switch,Nintendo,58.0
2719,Touch the Dead,DS,Nintendo,58.0
2720,America's Army,PC,PC_Gamer,58.0
2721,WRC 9 FIA World Rally Championship,PlayStation4,PlayStation,58.0
2722,Brink,PlayStation3,PlayStation,58.0
2723,F1 Race Stars,PlayStation3,PlayStation,58.0
2724,SVC Chaos: SNK vs. Capcom,Xbox,Xbox,58.0
2725,Monopoly,Xbox360,Xbox,58.0
2726,BASS Strike,PlayStation2,PlayStation,58.0
2727,Woah Dave!,PlayStationVita,PlayStation,58.0
2728,Namco Museum 50th Anniversary,PlayStation2,PlayStation,58.0
2729,Lovely Planet,XboxOne,Xbox,58.0
2730,Star Wars Galaxies: An Empire Divided,PC,PC_Gamer,58.0
2731,Destiny Connect: Tick-Tock Travelers,Switch,Nintendo,58.0
2732,Madden NFL 2001,PC,PC_Gamer,58.0
2733,Zeit Squared,Xbox360,Xbox,58.0
2734,GRID 2,Xbox360,Xbox,58.0
2735,Disney Infinity 3.0 Edition,XboxOne,Xbox,58.0
2736,The Disney Afternoon Collection,XboxOne,Xbox,58.0
2737,Super Time Force,Xbox360,Xbox,58.0
2738,Rad,PC,PC_Gamer,58.0
2739,3D Classics: Xevious,3DS,Nintendo,58.0
2740,Assassin's Creed Liberation HD,Xbox360,Xbox,58.0
2741,Neverwinter Nights: Enhanced Edition,Switch,Nintendo,58.0
2742,Dark Devotion,PlayStation4,PlayStation,58.0
2743,Moco Moco Friends,3DS,Nintendo,58.0
2744,Shadow Ops: Red Mercury,PC,PC_Gamer,58.0
2745,Disney's Meet the Robinsons,Xbox360,Xbox,58.0
2746,MySims SkyHeroes,Xbox360,Xbox,58.0
2747,Test Drive Unlimited 2,PC,PC_Gamer,58.0
2748,Naruto to Boruto: Shinobi Striker,PlayStation4,PlayStation,58.0
2749,Harry Potter and the Order of the Phoenix,Wii,Nintendo,58.0
2750,Graveyard Keeper,Switch,Nintendo,58.0
2751,Back to Bed,PC,PC_Gamer,58.0
2752,Breach (2011),PC,PC_Gamer,58.0
2753,Madden NFL 08,PlayStation3,PlayStation,58.0
